"subject" "activity" "variable" "average"
"1" 1 "LAYING" "wBodyAccMeanX" 1.08343725751416
"2" 1 "LAYING" "wBodyAccStdX" 12.4366593715386
"3" 1 "LAYING" "wBodyAccMeanY" 1.08271785931268
"4" 1 "LAYING" "wBodyAccStdY" 12.4368785286075
"5" 1 "LAYING" "wBodyAccMeanZ" 1.09327893962814
"6" 1 "LAYING" "wBodyAccStdZ" 12.4358464826143
"7" 1 "LAYING" "wBodyGyroMeanX" 1.10626524316611
"8" 1 "LAYING" "wBodyGyroStdX" 12.4379804890823
"9" 1 "LAYING" "wBodyGyroMeanY" 1.09929792760556
"10" 1 "LAYING" "wBodyGyroStdY" 12.4355077066395
"11" 1 "LAYING" "wBodyGyroMeanZ" 1.12226821456787
"12" 1 "LAYING" "wBodyGyroStdZ" 12.4334605874061
"13" 1 "LAYING" "wTotalAccMeanX" 1.24189774708
"14" 1 "LAYING" "wTotalAccStdX" 12.4225521600255
"15" 1 "LAYING" "wTotalAccMeanY" 1.79983129868381
"16" 1 "LAYING" "wTotalAccStdY" 12.3732375835863
"17" 1 "LAYING" "wTotalAccMeanZ" 1.52251708699335
"18" 1 "LAYING" "wTotalAccStdZ" 12.397721613853
"19" 1 "LAYING" "tbodyaccmeanx" 0.22159824394
"20" 1 "LAYING" "tbodyaccmeany" -0.0405139534294
"21" 1 "LAYING" "tbodyaccmeanz" -0.11320355358
"22" 1 "LAYING" "tbodyaccstdx" -0.9280564692
"23" 1 "LAYING" "tbodyaccstdy" -0.83682740562
"24" 1 "LAYING" "tbodyaccstdz" -0.826061401628
"25" 1 "LAYING" "tgravityaccmeanx" -0.24888179828
"26" 1 "LAYING" "tgravityaccmeany" 0.70554977346
"27" 1 "LAYING" "tgravityaccmeanz" 0.4458177198
"28" 1 "LAYING" "tgravityaccstdx" -0.8968300184
"29" 1 "LAYING" "tgravityaccstdy" -0.90772000676
"30" 1 "LAYING" "tgravityaccstdz" -0.85236629022
"31" 1 "LAYING" "tbodyaccjerkmeanx" 0.0810865342
"32" 1 "LAYING" "tbodyaccjerkmeany" 0.0038382040088
"33" 1 "LAYING" "tbodyaccjerkmeanz" 0.010834236361
"34" 1 "LAYING" "tbodyaccjerkstdx" -0.958482112
"35" 1 "LAYING" "tbodyaccjerkstdy" -0.9241492736
"36" 1 "LAYING" "tbodyaccjerkstdz" -0.9548551108
"37" 1 "LAYING" "tbodygyromeanx" -0.016553093978
"38" 1 "LAYING" "tbodygyromeany" -0.064486124088
"39" 1 "LAYING" "tbodygyromeanz" 0.14868943626
"40" 1 "LAYING" "tbodygyrostdx" -0.87354386782
"41" 1 "LAYING" "tbodygyrostdy" -0.9510904402
"42" 1 "LAYING" "tbodygyrostdz" -0.9082846626
"43" 1 "LAYING" "tbodygyrojerkmeanx" -0.107270949192
"44" 1 "LAYING" "tbodygyrojerkmeany" -0.04151728689
"45" 1 "LAYING" "tbodygyrojerkmeanz" -0.0740501211
"46" 1 "LAYING" "tbodygyrojerkstdx" -0.9186085208
"47" 1 "LAYING" "tbodygyrojerkstdy" -0.9679072436
"48" 1 "LAYING" "tbodygyrojerkstdz" -0.9577901596
"49" 1 "LAYING" "tbodyaccmagmean" -0.8419291525
"50" 1 "LAYING" "tbodyaccmagstd" -0.79514486386
"51" 1 "LAYING" "tgravityaccmagmean" -0.8419291525
"52" 1 "LAYING" "tgravityaccmagstd" -0.79514486386
"53" 1 "LAYING" "tbodyaccjerkmagmean" -0.9543962646
"54" 1 "LAYING" "tbodyaccjerkmagstd" -0.9282456284
"55" 1 "LAYING" "tbodygyromagmean" -0.874759548
"56" 1 "LAYING" "tbodygyromagstd" -0.81901016976
"57" 1 "LAYING" "tbodygyrojerkmagmean" -0.96346103
"58" 1 "LAYING" "tbodygyrojerkmagstd" -0.9358409828
"59" 1 "LAYING" "fbodyaccmeanx" -0.9390990524
"60" 1 "LAYING" "fbodyaccmeany" -0.86706520518
"61" 1 "LAYING" "fbodyaccmeanz" -0.8826668762
"62" 1 "LAYING" "fbodyaccstdx" -0.9244374346
"63" 1 "LAYING" "fbodyaccstdy" -0.8336255561
"64" 1 "LAYING" "fbodyaccstdz" -0.81289155944
"65" 1 "LAYING" "fbodyaccjerkmeanx" -0.9570738838
"66" 1 "LAYING" "fbodyaccjerkmeany" -0.9224626098
"67" 1 "LAYING" "fbodyaccjerkmeanz" -0.9480609042
"68" 1 "LAYING" "fbodyaccjerkstdx" -0.9641607086
"69" 1 "LAYING" "fbodyaccjerkstdy" -0.9322178704
"70" 1 "LAYING" "fbodyaccjerkstdz" -0.9605869872
"71" 1 "LAYING" "fbodygyromeanx" -0.850249174586
"72" 1 "LAYING" "fbodygyromeany" -0.9521914948
"73" 1 "LAYING" "fbodygyromeanz" -0.909302721
"74" 1 "LAYING" "fbodygyrostdx" -0.8822964508
"75" 1 "LAYING" "fbodygyrostdy" -0.9512320494
"76" 1 "LAYING" "fbodygyrostdz" -0.9165825082
"77" 1 "LAYING" "fbodyaccmagmean" -0.8617676481
"78" 1 "LAYING" "fbodyaccmagstd" -0.7983009404
"79" 1 "LAYING" "fbodybodyaccjerkmagmean" -0.9333003608
"80" 1 "LAYING" "fbodybodyaccjerkmagstd" -0.9218039756
"81" 1 "LAYING" "fbodybodygyromagmean" -0.8621901854
"82" 1 "LAYING" "fbodybodygyromagstd" -0.82431943968
"83" 1 "LAYING" "fbodybodygyrojerkmagmean" -0.9423669466
"84" 1 "LAYING" "fbodybodygyrojerkmagstd" -0.9326606676
"85" 1 "SITTING" "wBodyAccMeanX" 0.988577304919617
"86" 1 "SITTING" "wBodyAccStdX" 11.2663815618126
"87" 1 "SITTING" "wBodyAccMeanY" 1.00015679696069
"88" 1 "SITTING" "wBodyAccStdY" 11.2654397665562
"89" 1 "SITTING" "wBodyAccMeanZ" 0.993151777126232
"90" 1 "SITTING" "wBodyAccStdZ" 11.2660493784297
"91" 1 "SITTING" "wBodyGyroMeanX" 0.973830233778739
"92" 1 "SITTING" "wBodyGyroStdX" 11.2681098324543
"93" 1 "SITTING" "wBodyGyroMeanY" 0.984040330364752
"94" 1 "SITTING" "wBodyGyroStdY" 11.2679091877939
"95" 1 "SITTING" "wBodyGyroMeanZ" 0.981641246594998
"96" 1 "SITTING" "wBodyGyroStdZ" 11.2674613090514
"97" 1 "SITTING" "wTotalAccMeanX" 1.90518074956292
"98" 1 "SITTING" "wTotalAccStdX" 11.1850398097374
"99" 1 "SITTING" "wTotalAccMeanY" 1.22064374700478
"100" 1 "SITTING" "wTotalAccStdY" 11.2457875384304
"101" 1 "SITTING" "wTotalAccMeanZ" 1.31144813857826
"102" 1 "SITTING" "wTotalAccStdZ" 11.2377382037138
"103" 1 "SITTING" "tbodyaccmeanx" 0.261237565425532
"104" 1 "SITTING" "tbodyaccmeany" -0.00130828765170213
"105" 1 "SITTING" "tbodyaccmeanz" -0.104544182255319
"106" 1 "SITTING" "tbodyaccstdx" -0.977229008297872
"107" 1 "SITTING" "tbodyaccstdy" -0.922618641914894
"108" 1 "SITTING" "tbodyaccstdz" -0.93958629106383
"109" 1 "SITTING" "tgravityaccmeanx" 0.831509933404255
"110" 1 "SITTING" "tgravityaccmeany" 0.204411592680851
"111" 1 "SITTING" "tgravityaccmeanz" 0.332043702765957
"112" 1 "SITTING" "tgravityaccstdx" -0.968457145744681
"113" 1 "SITTING" "tgravityaccstdy" -0.935517055957447
"114" 1 "SITTING" "tgravityaccstdz" -0.949040933191489
"115" 1 "SITTING" "tbodyaccjerkmeanx" 0.0774825199574468
"116" 1 "SITTING" "tbodyaccjerkmeany" -0.000619102785106384
"117" 1 "SITTING" "tbodyaccjerkmeanz" -0.00336779235021277
"118" 1 "SITTING" "tbodyaccjerkstdx" -0.986430711276596
"119" 1 "SITTING" "tbodyaccjerkstdy" -0.981371965319149
"120" 1 "SITTING" "tbodyaccjerkstdz" -0.987910804468085
"121" 1 "SITTING" "tbodygyromeanx" -0.045350056512766
"122" 1 "SITTING" "tbodygyromeany" -0.0919241549361702
"123" 1 "SITTING" "tbodygyromeanz" 0.0629313811914894
"124" 1 "SITTING" "tbodygyrostdx" -0.977211283191489
"125" 1 "SITTING" "tbodygyrostdy" -0.966473895319149
"126" 1 "SITTING" "tbodygyrostdz" -0.941425920851064
"127" 1 "SITTING" "tbodygyrojerkmeanx" -0.0936793807234043
"128" 1 "SITTING" "tbodygyrojerkmeany" -0.0402118124255319
"129" 1 "SITTING" "tbodygyrojerkmeanz" -0.046702627
"130" 1 "SITTING" "tbodygyrojerkstdx" -0.99173159212766
"131" 1 "SITTING" "tbodygyrojerkstdy" -0.989518068510638
"132" 1 "SITTING" "tbodygyrojerkstdz" -0.987935806382979
"133" 1 "SITTING" "tbodyaccmagmean" -0.948536786170213
"134" 1 "SITTING" "tbodyaccmagstd" -0.927078418723404
"135" 1 "SITTING" "tgravityaccmagmean" -0.948536786170213
"136" 1 "SITTING" "tgravityaccmagstd" -0.927078418723404
"137" 1 "SITTING" "tbodyaccjerkmagmean" -0.987364195531915
"138" 1 "SITTING" "tbodyaccjerkmagstd" -0.984120024042553
"139" 1 "SITTING" "tbodygyromagmean" -0.93089249
"140" 1 "SITTING" "tbodygyromagstd" -0.934531840425532
"141" 1 "SITTING" "tbodygyrojerkmagmean" -0.991976341276596
"142" 1 "SITTING" "tbodygyrojerkmagstd" -0.988308728510638
"143" 1 "SITTING" "fbodyaccmeanx" -0.979641238723404
"144" 1 "SITTING" "fbodyaccmeany" -0.944084550425532
"145" 1 "SITTING" "fbodyaccmeanz" -0.959184889148936
"146" 1 "SITTING" "fbodyaccstdx" -0.976412313191489
"147" 1 "SITTING" "fbodyaccstdy" -0.917275006382979
"148" 1 "SITTING" "fbodyaccstdz" -0.934469558085106
"149" 1 "SITTING" "fbodyaccjerkmeanx" -0.986597022553191
"150" 1 "SITTING" "fbodyaccjerkmeany" -0.981579467021277
"151" 1 "SITTING" "fbodyaccjerkmeanz" -0.986053092340425
"152" 1 "SITTING" "fbodyaccjerkstdx" -0.987492994468085
"153" 1 "SITTING" "fbodyaccjerkstdy" -0.982513909574468
"154" 1 "SITTING" "fbodyaccjerkstdz" -0.988339184893617
"155" 1 "SITTING" "fbodygyromeanx" -0.976161464042553
"156" 1 "SITTING" "fbodygyromeany" -0.975838585319149
"157" 1 "SITTING" "fbodygyromeanz" -0.951315544468085
"158" 1 "SITTING" "fbodygyrostdx" -0.977904227021277
"159" 1 "SITTING" "fbodygyrostdy" -0.962345042553192
"160" 1 "SITTING" "fbodygyrostdz" -0.94391784106383
"161" 1 "SITTING" "fbodyaccmagmean" -0.947782922553192
"162" 1 "SITTING" "fbodyaccmagstd" -0.928444801702128
"163" 1 "SITTING" "fbodybodyaccjerkmagmean" -0.985262126808511
"164" 1 "SITTING" "fbodybodyaccjerkmagstd" -0.981606177446808
"165" 1 "SITTING" "fbodybodygyromagmean" -0.958435589361702
"166" 1 "SITTING" "fbodybodygyromagstd" -0.932198374893617
"167" 1 "SITTING" "fbodybodygyrojerkmagmean" -0.989797547234043
"168" 1 "SITTING" "fbodybodygyrojerkmagstd" -0.987049617234043
"169" 1 "STANDING" "wBodyAccMeanX" 0.776199502127966
"170" 1 "STANDING" "wBodyAccStdX" 8.81279387819951
"171" 1 "STANDING" "wBodyAccMeanY" 0.776445853899251
"172" 1 "STANDING" "wBodyAccStdY" 8.81278996137962
"173" 1 "STANDING" "wBodyAccMeanZ" 0.775173127985854
"174" 1 "STANDING" "wBodyAccStdZ" 8.81293449246021
"175" 1 "STANDING" "wBodyGyroMeanX" 0.77969836869131
"176" 1 "STANDING" "wBodyGyroStdX" 8.81256822846842
"177" 1 "STANDING" "wBodyGyroMeanY" 0.78261911755613
"178" 1 "STANDING" "wBodyGyroStdY" 8.81230992120676
"179" 1 "STANDING" "wBodyGyroMeanZ" 0.770860710407055
"180" 1 "STANDING" "wBodyGyroStdZ" 8.81331775586903
"181" 1 "STANDING" "wTotalAccMeanX" 1.77100515603335
"182" 1 "STANDING" "wTotalAccStdX" 8.72459981931928
"183" 1 "STANDING" "wTotalAccMeanY" 0.523835317931841
"184" 1 "STANDING" "wTotalAccStdY" 8.83519276054716
"185" 1 "STANDING" "wTotalAccMeanZ" 0.782846266560385
"186" 1 "STANDING" "wTotalAccStdZ" 8.8122108693948
"187" 1 "STANDING" "tbodyaccmeanx" 0.278917629056604
"188" 1 "STANDING" "tbodyaccmeany" -0.0161375901037736
"189" 1 "STANDING" "tbodyaccmeanz" -0.110601817735849
"190" 1 "STANDING" "tbodyaccstdx" -0.995759901509434
"191" 1 "STANDING" "tbodyaccstdy" -0.973190056415094
"192" 1 "STANDING" "tbodyaccstdz" -0.979775876981132
"193" 1 "STANDING" "tgravityaccmeanx" 0.942952000377358
"194" 1 "STANDING" "tgravityaccmeany" -0.272983832264151
"195" 1 "STANDING" "tgravityaccmeanz" 0.0134905823226415
"196" 1 "STANDING" "tgravityaccstdx" -0.99376298509434
"197" 1 "STANDING" "tgravityaccstdy" -0.981225957924528
"198" 1 "STANDING" "tgravityaccstdz" -0.976324063584906
"199" 1 "STANDING" "tbodyaccjerkmeanx" 0.0753766542264151
"200" 1 "STANDING" "tbodyaccjerkmeany" 0.00797573092830189
"201" 1 "STANDING" "tbodyaccjerkmeanz" -0.00368524954709434
"202" 1 "STANDING" "tbodyaccjerkstdx" -0.994604542264151
"203" 1 "STANDING" "tbodyaccjerkstdy" -0.98564873245283
"204" 1 "STANDING" "tbodyaccjerkstdz" -0.992251177358491
"205" 1 "STANDING" "tbodygyromeanx" -0.0239877347979245
"206" 1 "STANDING" "tbodygyromeany" -0.0593972209811321
"207" 1 "STANDING" "tbodygyromeanz" 0.074800751
"208" 1 "STANDING" "tbodygyrostdx" -0.987191946603774
"209" 1 "STANDING" "tbodygyrostdy" -0.98773444
"210" 1 "STANDING" "tbodygyrostdz" -0.980645626981132
"211" 1 "STANDING" "tbodygyrojerkmeanx" -0.0996092129056604
"212" 1 "STANDING" "tbodygyrojerkmeany" -0.0440627877924528
"213" 1 "STANDING" "tbodygyrojerkmeanz" -0.0489505466716981
"214" 1 "STANDING" "tbodygyrojerkstdx" -0.992945106981132
"215" 1 "STANDING" "tbodygyrojerkstdy" -0.995137917358491
"216" 1 "STANDING" "tbodygyrojerkstdz" -0.992108467169811
"217" 1 "STANDING" "tbodyaccmagmean" -0.984278207358491
"218" 1 "STANDING" "tbodyaccmagstd" -0.981942928867925
"219" 1 "STANDING" "tgravityaccmagmean" -0.984278207358491
"220" 1 "STANDING" "tgravityaccmagstd" -0.981942928867925
"221" 1 "STANDING" "tbodyaccjerkmagmean" -0.992367790566038
"222" 1 "STANDING" "tbodyaccjerkmagstd" -0.993096209433962
"223" 1 "STANDING" "tbodygyromagmean" -0.976493792830189
"224" 1 "STANDING" "tbodygyromagstd" -0.978690028679245
